seqID,scaffoldID,gene_start,gene_end,gene_direction,cluster_ID,taxonomic_assignment,metabolic_assignment,gene_info
BLI21_assembly105_000000000105_47,BLI21_assembly105_000000000105,9067,9456,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,transc_reg_arsR
BLI21_assembly105_000000000105_48,BLI21_assembly105_000000000105,9494,10117,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000000105_49,BLI21_assembly105_000000000105,10128,10847,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,NA
BLI20_assembly002_000000107555_1,BLI20_assembly002_000000107555,5000,5704,+,BLI_hgcA_clstr_0026,Kiritimatiellae,KIR,hgcA
BLI20_assembly002_000000107555_2,BLI20_assembly002_000000107555,4605,4988,+,BLI_hgcA_clstr_0026,Kiritimatiellae,KIR,transc_reg_arsR
BLI20_assembly002_000000107555_3,BLI20_assembly002_000000107555,4220,4396,-,BLI_hgcA_clstr_0026,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000010846_1,BLI21_coassembly_000000010846,452,1354,-,BLI_hgcA_clstr_0006,Actinobacteria,RESP,NA
BLI21_coassembly_000000010846_2,BLI21_coassembly_000000010846,1431,3392,-,BLI_hgcA_clstr_0006,Actinobacteria,RESP,NA
BLI21_coassembly_000000010846_3,BLI21_coassembly_000000010846,3427,3555,-,BLI_hgcA_clstr_0006,Actinobacteria,RESP,NA
BLI21_coassembly_000000010846_4,BLI21_coassembly_000000010846,3880,4878,+,BLI_hgcA_clstr_0006,Actinobacteria,RESP,terC
BLI21_coassembly_000000010846_5,BLI21_coassembly_000000010846,5000,6181,+,BLI_hgcA_clstr_0006,Actinobacteria,RESP,hgcA
BLI21_coassembly_000000010846_6,BLI21_coassembly_000000010846,6178,6462,+,BLI_hgcA_clstr_0006,Actinobacteria,RESP,hgcB
BLI21_coassembly_000000010846_7,BLI21_coassembly_000000010846,6533,7435,-,BLI_hgcA_clstr_0006,Actinobacteria,RESP,NA
BLI21_coassembly_000000010846_8,BLI21_coassembly_000000010846,7451,9937,-,BLI_hgcA_clstr_0006,Actinobacteria,RESP,NA
BLI21_coassembly_000000010846_9,BLI21_coassembly_000000010846,10096,11103,+,BLI_hgcA_clstr_0006,Actinobacteria,RESP,NA
BLI20_assembly004_000000011224_1,BLI20_assembly004_000000011224,3352,4458,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,NA
BLI20_assembly004_000000011224_2,BLI20_assembly004_000000011224,4604,4996,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,transc_reg_arsR
BLI20_assembly004_000000011224_3,BLI20_assembly004_000000011224,5000,6058,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,hgcA
BLI20_assembly004_000000011224_4,BLI20_assembly004_000000011224,6068,6394,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,hgcB
BLI20_assembly004_000000011224_5,BLI20_assembly004_000000011224,6394,6675,+,BLI_hgcA_clstr_0034,Kiritimatiellae,KIR,NA
BLI21_assembly102_000000112326_1,BLI21_assembly102_000000112326,4630,4998,+,BLI_hgcA_clstr_0045,Bacteroidetes,UNK,ArsC_arsenate_reductase
BLI21_assembly102_000000112326_2,BLI21_assembly102_000000112326,5000,6028,+,BLI_hgcA_clstr_0045,Bacteroidetes,UNK,hgcA
BLI21_assembly102_000000112326_3,BLI21_assembly102_000000112326,6025,6336,+,BLI_hgcA_clstr_0045,Bacteroidetes,UNK,hgcB
BLI21_coassembly_000000113360_1,BLI21_coassembly_000000113360,1983,2363,-,BLI_hgcA_clstr_0009,Firmicutes,FERM,NA
BLI21_coassembly_000000113360_2,BLI21_coassembly_000000113360,2379,3716,-,BLI_hgcA_clstr_0009,Firmicutes,FERM,NA
BLI21_coassembly_000000113360_3,BLI21_coassembly_000000113360,4174,4956,+,BLI_hgcA_clstr_0009,Firmicutes,FERM,NA
BLI21_coassembly_000000113360_4,BLI21_coassembly_000000113360,5000,6154,+,BLI_hgcA_clstr_0009,Firmicutes,FERM,hgcA
BLI21_coassembly_000000113360_5,BLI21_coassembly_000000113360,6198,6497,+,BLI_hgcA_clstr_0009,Firmicutes,FERM,hgcB
BLI21_coassembly_000000113360_6,BLI21_coassembly_000000113360,6728,6811,+,BLI_hgcA_clstr_0009,Firmicutes,FERM,NA
BLI20_coassembly_000000113875_1,BLI20_coassembly_000000113875,5000,6034,+,BLI_hgcA_clstr_0043,Kiritimatiellae,KIR,hgcA
BLI20_coassembly_000000113875_2,BLI20_coassembly_000000113875,6031,6312,+,BLI_hgcA_clstr_0043,Kiritimatiellae,KIR,hgcB
BLI20_coassembly_000000113875_3,BLI20_coassembly_000000113875,6318,7181,-,BLI_hgcA_clstr_0043,Kiritimatiellae,KIR,NA
BLI20_coassembly_000000113875_4,BLI20_coassembly_000000113875,7270,7617,-,BLI_hgcA_clstr_0043,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000001142_3,BLI21_assembly105_000000001142,2282,4180,-,BLI_hgcA_clstr_0047,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000001142_4,BLI21_assembly105_000000001142,4182,4475,-,BLI_hgcA_clstr_0047,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000001142_5,BLI21_assembly105_000000001142,4608,5003,+,BLI_hgcA_clstr_0047,Kiritimatiellae,KIR,transc_reg_arsR
BLI21_assembly105_000000001142_6,BLI21_assembly105_000000001142,5000,6025,+,BLI_hgcA_clstr_0047,Kiritimatiellae,KIR,hgcA
BLI21_assembly105_000000001142_7,BLI21_assembly105_000000001142,6295,6615,+,BLI_hgcA_clstr_0047,Kiritimatiellae,KIR,hgcB
BLI21_assembly105_000000001142_8,BLI21_assembly105_000000001142,6629,7825,+,BLI_hgcA_clstr_0047,Kiritimatiellae,KIR,ACR3_arsenite_efflux
BLI21_assembly105_000000001142_9,BLI21_assembly105_000000001142,7911,8342,+,BLI_hgcA_clstr_0047,Kiritimatiellae,KIR,ArsC_arsenate_reductase
BLI21_assembly105_000000001142_10,BLI21_assembly105_000000001142,8346,8912,+,BLI_hgcA_clstr_0047,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000001142_11,BLI21_assembly105_000000001142,8747,9484,-,BLI_hgcA_clstr_0047,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000001142_12,BLI21_assembly105_000000001142,9426,10502,-,BLI_hgcA_clstr_0047,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000001156_1,BLI21_assembly105_000000001156,6033,6341,+,BLI_hgcA_clstr_0046,Kiritimatiellae,KIR,hgcB
BLI21_assembly105_000000001156_2,BLI21_assembly105_000000001156,5000,6025,+,BLI_hgcA_clstr_0046,Kiritimatiellae,KIR,hgcA
BLI21_assembly105_000000001156_3,BLI21_assembly105_000000001156,4662,5003,+,BLI_hgcA_clstr_0046,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000001156_4,BLI21_assembly105_000000001156,3935,4576,+,BLI_hgcA_clstr_0046,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000001156_5,BLI21_assembly105_000000001156,2498,3865,+,BLI_hgcA_clstr_0046,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000001156_6,BLI21_assembly105_000000001156,2105,2482,+,BLI_hgcA_clstr_0046,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000001156_7,BLI21_assembly105_000000001156,1562,2044,+,BLI_hgcA_clstr_0046,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000001156_8,BLI21_assembly105_000000001156,1321,1554,+,BLI_hgcA_clstr_0046,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000001156_9,BLI21_assembly105_000000001156,898,1257,+,BLI_hgcA_clstr_0046,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000001173_11,BLI21_coassembly_000000001173,380,1708,-,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,metal_efflux_RND_TolC
BLI21_coassembly_000000001173_12,BLI21_coassembly_000000001173,1827,2096,-,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000001173_13,BLI21_coassembly_000000001173,2135,3703,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000001173_14,BLI21_coassembly_000000001173,3722,4042,-,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000001173_15,BLI21_coassembly_000000001173,4029,4511,-,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000001173_16,BLI21_coassembly_000000001173,4637,4999,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,transc_reg_arsR
BLI21_coassembly_000000001173_17,BLI21_coassembly_000000001173,5000,5986,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,hgcA
BLI21_coassembly_000000001173_18,BLI21_coassembly_000000001173,5983,6297,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,hgcB
BLI21_coassembly_000000001173_19,BLI21_coassembly_000000001173,6294,6755,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,ArsC_arsenate_reductase
BLI21_coassembly_000000001173_20,BLI21_coassembly_000000001173,6748,7950,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,ACR3_arsenite_efflux
BLI21_coassembly_000000001173_21,BLI21_coassembly_000000001173,7967,8218,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000001173_22,BLI21_coassembly_000000001173,8215,8628,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,NA
BLI20_assembly005_000000119946_1,BLI20_assembly005_000000119946,6096,6506,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,ArsC_arsenate_reductase
BLI20_assembly005_000000119946_2,BLI20_assembly005_000000119946,5778,6077,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,hgcB
BLI20_assembly005_000000119946_3,BLI20_assembly005_000000119946,5000,5767,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,hgcA
BLI21_assembly102_000000120234_1,BLI21_assembly102_000000120234,6291,6392,+,BLI_hgcA_clstr_0020,Firmicutes,FERM,NA
BLI21_assembly102_000000120234_2,BLI21_assembly102_000000120234,6086,6286,+,BLI_hgcA_clstr_0020,Firmicutes,FERM,NA
BLI21_assembly102_000000120234_3,BLI21_assembly102_000000120234,5000,6073,+,BLI_hgcA_clstr_0020,Firmicutes,FERM,hgcA
BLI21_assembly102_000000120234_4,BLI21_assembly102_000000120234,4745,4822,+,BLI_hgcA_clstr_0020,Firmicutes,FERM,NA
BLI21_coassembly_000000012259_4,BLI21_coassembly_000000012259,10659,10841,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000012259_5,BLI21_coassembly_000000012259,10407,10640,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000012259_6,BLI21_coassembly_000000012259,9446,10282,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000012259_7,BLI21_coassembly_000000012259,8819,8935,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000012259_8,BLI21_coassembly_000000012259,8318,8803,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000012259_9,BLI21_coassembly_000000012259,7122,8306,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,ACR3_arsenite_efflux
BLI21_coassembly_000000012259_10,BLI21_coassembly_000000012259,6390,6830,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,ArsC_arsenate_reductase
BLI21_coassembly_000000012259_11,BLI21_coassembly_000000012259,6072,6371,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,hgcB
BLI21_coassembly_000000012259_12,BLI21_coassembly_000000012259,5000,6061,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,hgcA
BLI21_coassembly_000000012259_13,BLI21_coassembly_000000012259,4605,4988,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,transc_reg_arsR
BLI21_coassembly_000000012259_14,BLI21_coassembly_000000012259,4034,4447,-,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000012259_15,BLI21_coassembly_000000012259,2604,4007,-,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,transc_reg_sig54
BLI21_coassembly_000000012259_16,BLI21_coassembly_000000012259,1918,2316,-,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000012259_17,BLI21_coassembly_000000012259,1833,1967,-,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000012259_18,BLI21_coassembly_000000012259,1499,1861,-,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000012259_19,BLI21_coassembly_000000012259,1124,1474,-,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000012259_20,BLI21_coassembly_000000012259,173,1114,-,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,NA
BLI20_assembly001_000000123616_1,BLI20_assembly001_000000123616,5000,5983,+,BLI_hgcA_clstr_0025,Kiritimatiellae,KIR,hgcA
BLI20_assembly001_000000124671_1,BLI20_assembly001_000000124671,5815,6090,+,BLI_hgcA_clstr_0003,Actinobacteria,RESP,hgcB
BLI20_assembly001_000000124671_2,BLI20_assembly001_000000124671,5000,5809,+,BLI_hgcA_clstr_0003,Actinobacteria,RESP,hgcA
BLI21_assembly104_000000125678_1,BLI21_assembly104_000000125678,4430,4924,+,BLI_hgcA_clstr_0069,Kiritimatiellae,KIR,NA
BLI21_assembly104_000000125678_2,BLI21_assembly104_000000125678,5000,5938,+,BLI_hgcA_clstr_0069,Kiritimatiellae,KIR,hgcA
BLI20_coassembly_000000012788_1,BLI20_coassembly_000000012788,2915,3199,+,BLI_hgcA_clstr_0031,Kiritimatiellae,KIR,NA
BLI20_coassembly_000000012788_2,BLI20_coassembly_000000012788,3247,4779,-,BLI_hgcA_clstr_0031,Kiritimatiellae,KIR,NA
BLI20_coassembly_000000012788_3,BLI20_coassembly_000000012788,5000,6061,+,BLI_hgcA_clstr_0031,Kiritimatiellae,KIR,hgcA
BLI20_coassembly_000000012788_4,BLI20_coassembly_000000012788,6116,6442,+,BLI_hgcA_clstr_0031,Kiritimatiellae,KIR,hgcB
BLI20_coassembly_000000012788_5,BLI20_coassembly_000000012788,6435,6698,+,BLI_hgcA_clstr_0031,Kiritimatiellae,KIR,NA
BLI20_coassembly_000000012788_6,BLI20_coassembly_000000012788,6719,6961,+,BLI_hgcA_clstr_0031,Kiritimatiellae,KIR,NA
BLI20_coassembly_000000012788_7,BLI20_coassembly_000000012788,6958,7359,+,BLI_hgcA_clstr_0031,Kiritimatiellae,KIR,NA
BLI20_coassembly_000000012788_8,BLI20_coassembly_000000012788,7374,9215,+,BLI_hgcA_clstr_0031,Kiritimatiellae,KIR,NA
BLI20_coassembly_000000012788_9,BLI20_coassembly_000000012788,9236,9625,+,BLI_hgcA_clstr_0031,Kiritimatiellae,KIR,transc_reg_arsR
BLI20_coassembly_000000012788_10,BLI20_coassembly_000000012788,9684,9806,+,BLI_hgcA_clstr_0031,Kiritimatiellae,KIR,NA
BLI20_coassembly_000000012788_11,BLI20_coassembly_000000012788,9799,10971,+,BLI_hgcA_clstr_0031,Kiritimatiellae,KIR,NA
BLI21_assembly105_000000012814_1,BLI21_assembly105_000000012814,10038,10913,+,BLI_hgcA_clstr_0024,Firmicutes,FERM,NA
BLI21_assembly105_000000012814_2,BLI21_assembly105_000000012814,7972,9816,+,BLI_hgcA_clstr_0024,Firmicutes,FERM,NA
BLI21_assembly105_000000012814_3,BLI21_assembly105_000000012814,7459,7854,+,BLI_hgcA_clstr_0024,Firmicutes,FERM,ArsC_arsenate_reductase
BLI21_assembly105_000000012814_4,BLI21_assembly105_000000012814,6372,7466,+,BLI_hgcA_clstr_0024,Firmicutes,FERM,ACR3_arsenite_efflux
BLI21_assembly105_000000012814_5,BLI21_assembly105_000000012814,6061,6351,+,BLI_hgcA_clstr_0024,Firmicutes,FERM,hgcB
BLI21_assembly105_000000012814_6,BLI21_assembly105_000000012814,5000,6064,+,BLI_hgcA_clstr_0024,Firmicutes,FERM,hgcA
BLI21_assembly105_000000012814_7,BLI21_assembly105_000000012814,4731,4973,+,BLI_hgcA_clstr_0024,Firmicutes,FERM,NA
BLI21_assembly105_000000012814_8,BLI21_assembly105_000000012814,4272,4718,+,BLI_hgcA_clstr_0024,Firmicutes,FERM,NA
BLI21_coassembly_000000129190_1,BLI21_coassembly_000000129190,9090,9419,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,transc_reg_sig54
BLI21_coassembly_000000129190_2,BLI21_coassembly_000000129190,8425,9099,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000129190_3,BLI21_coassembly_000000129190,8304,8411,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000129190_4,BLI21_coassembly_000000129190,7966,8307,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000129190_5,BLI21_coassembly_000000129190,7832,7951,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,NA
BLI21_coassembly_000000129190_6,BLI21_coassembly_000000129190,6648,7703,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,ACR3_arsenite_efflux
BLI21_coassembly_000000129190_7,BLI21_coassembly_000000129190,6215,6646,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,ArsC_arsenate_reductase
BLI21_coassembly_000000129190_8,BLI21_coassembly_000000129190,5859,6167,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,hgcB
BLI21_coassembly_000000129190_9,BLI21_coassembly_000000129190,5000,5848,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,hgcA
BLI21_assembly102_000000001292_1,BLI21_assembly102_000000001292,7997,9550,-,BLI_hgcA_clstr_0059,Kiritimatiellae,KIR,NA
BLI21_assembly102_000000001292_2,BLI21_assembly102_000000001292,6742,7947,+,BLI_hgcA_clstr_0059,Kiritimatiellae,KIR,ACR3_arsenite_efflux
BLI21_assembly102_000000001292_3,BLI21_assembly102_000000001292,6294,6755,+,BLI_hgcA_clstr_0059,Kiritimatiellae,KIR,ArsC_arsenate_reductase
BLI21_assembly102_000000001292_4,BLI21_assembly102_000000001292,5983,6297,+,BLI_hgcA_clstr_0059,Kiritimatiellae,KIR,hgcB
BLI21_assembly102_000000001292_5,BLI21_assembly102_000000001292,5000,5986,+,BLI_hgcA_clstr_0059,Kiritimatiellae,KIR,hgcA
BLI21_assembly102_000000001292_6,BLI21_assembly102_000000001292,4637,4999,+,BLI_hgcA_clstr_0059,Kiritimatiellae,KIR,transc_reg_arsR
BLI21_assembly102_000000001292_7,BLI21_assembly102_000000001292,4174,4557,-,BLI_hgcA_clstr_0059,Kiritimatiellae,KIR,NA
BLI21_assembly102_000000001292_8,BLI21_assembly102_000000001292,3867,4133,-,BLI_hgcA_clstr_0059,Kiritimatiellae,KIR,NA
BLI21_assembly102_000000001292_9,BLI21_assembly102_000000001292,2385,3851,+,BLI_hgcA_clstr_0059,Kiritimatiellae,KIR,NA
BLI21_assembly102_000000001292_10,BLI21_assembly102_000000001292,1330,1944,-,BLI_hgcA_clstr_0059,Kiritimatiellae,KIR,NA
BLI21_assembly102_000000001292_11,BLI21_assembly102_000000001292,985,1245,-,BLI_hgcA_clstr_0059,Kiritimatiellae,KIR,transc_reg_HTH
BLI21_assembly103_000000129736_1,BLI21_assembly103_000000129736,6228,6536,-,BLI_hgcA_clstr_0043,Kiritimatiellae,KIR,NA
BLI21_assembly103_000000129736_2,BLI21_assembly103_000000129736,5941,6222,+,BLI_hgcA_clstr_0043,Kiritimatiellae,KIR,hgcB
BLI21_assembly103_000000129736_3,BLI21_assembly103_000000129736,5000,5944,+,BLI_hgcA_clstr_0043,Kiritimatiellae,KIR,hgcA
BLI20_assembly001_000000000130_14,BLI20_assembly001_000000000130,9240,10616,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,transc_reg_sig54
BLI20_assembly001_000000000130_15,BLI20_assembly001_000000000130,8575,9249,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,NA
BLI20_assembly001_000000000130_16,BLI20_assembly001_000000000130,8454,8561,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,NA
BLI20_assembly001_000000000130_17,BLI20_assembly001_000000000130,8116,8457,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,NA
BLI20_assembly001_000000000130_18,BLI20_assembly001_000000000130,7982,8101,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,NA
BLI20_assembly001_000000000130_19,BLI20_assembly001_000000000130,6798,7853,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,ACR3_arsenite_efflux
BLI20_assembly001_000000000130_20,BLI20_assembly001_000000000130,6365,6796,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,ArsC_arsenate_reductase
BLI20_assembly001_000000000130_21,BLI20_assembly001_000000000130,6009,6317,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,hgcB
BLI20_assembly001_000000000130_22,BLI20_assembly001_000000000130,5000,5998,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,hgcA
BLI20_assembly001_000000000130_23,BLI20_assembly001_000000000130,4610,4990,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,transc_reg_arsR
BLI20_assembly001_000000000130_24,BLI20_assembly001_000000000130,1363,4452,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,metal_efflux_RND_CusA
BLI20_assembly001_000000000130_25,BLI20_assembly001_000000000130,33,1325,+,BLI_hgcA_clstr_0054,Kiritimatiellae,KIR,metal_efflux_RND_adaptor
BLI21_assembly106_000000001307_1,BLI21_assembly106_000000001307,6748,6918,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,ACR3_arsenite_efflux
BLI21_assembly106_000000001307_2,BLI21_assembly106_000000001307,6294,6755,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,ArsC_arsenate_reductase
BLI21_assembly106_000000001307_3,BLI21_assembly106_000000001307,5983,6297,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,hgcB
BLI21_assembly106_000000001307_4,BLI21_assembly106_000000001307,5000,5986,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,hgcA
BLI21_assembly106_000000001307_5,BLI21_assembly106_000000001307,4637,4999,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,transc_reg_arsR
BLI21_assembly106_000000001307_6,BLI21_assembly106_000000001307,4029,4511,-,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,NA
BLI21_assembly106_000000001307_7,BLI21_assembly106_000000001307,3722,4042,-,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,NA
BLI21_assembly106_000000001307_8,BLI21_assembly106_000000001307,2135,3703,+,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,NA
BLI21_assembly106_000000001307_9,BLI21_assembly106_000000001307,1827,2096,-,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,NA
BLI21_assembly106_000000001307_10,BLI21_assembly106_000000001307,380,1708,-,BLI_hgcA_clstr_0060,Kiritimatiellae,KIR,metal_efflux_RND_TolC
BLI20_assembly004_000000131351_1,BLI20_assembly004_000000131351,5000,6064,+,BLI_hgcA_clstr_0022,Actinobacteria,RESP,hgcA
BLI20_coassembly_000000131407_1,BLI20_coassembly_000000131407,6347,7297,-,BLI_hgcA_clstr_0042,Bacteroidetes,RESP,NA
BLI20_coassembly_000000131407_2,BLI20_coassembly_000000131407,6034,6330,+,BLI_hgcA_clstr_0042,Bacteroidetes,RESP,hgcB
BLI20_coassembly_000000131407_3,BLI20_coassembly_000000131407,5000,6037,+,BLI_hgcA_clstr_0042,Bacteroidetes,RESP,hgcA
BLI20_coassembly_000000131407_4,BLI20_coassembly_000000131407,4823,4993,+,BLI_hgcA_clstr_0042,Bacteroidetes,RESP,NA
BLI20_coassembly_000000132620_1,BLI20_coassembly_000000132620,4574,4840,+,BLI_hgcA_clstr_0076,Geobacteraceae,RESP,NA
BLI20_coassembly_000000132620_2,BLI20_coassembly_000000132620,5000,5893,+,BLI_hgcA_clstr_0076,Geobacteraceae,RESP,hgcA
BLI20_coassembly_000000132620_3,BLI20_coassembly_000000132620,5890,6183,+,BLI_hgcA_clstr_0076,Geobacteraceae,RESP,hgcB
BLI20_coassembly_000000132620_4,BLI20_coassembly_000000132620,6208,6633,+,BLI_hgcA_clstr_0076,Geobacteraceae,RESP,NA
BLI20_coassembly_000000132620_5,BLI20_coassembly_000000132620,6659,7111,+,BLI_hgcA_clstr_0076,Geobacteraceae,RESP,NA
BLI21_assembly104_000000134173_1,BLI21_assembly104_000000134173,5992,6201,+,BLI_hgcA_clstr_0047,Kiritimatiellae,KIR,NA
